Release Height (m),Radionuclide,Distance (m),Stability Category,Dose
20,Eu-155,100,4,1.701355380492879e-09
20,Eu-155,100,5,1.7463993227009587e-09
20,Eu-155,100,6,1.7681368325491395e-09
20,Cs-137,200,1,7.10046049683445e-09
20,Cs-137,200,2,9.092568739702107e-09
20,Cs-137,200,3,1.06787521700574e-08
20,Cs-137,200,4,1.1476333051659456e-08
20,Cs-137,200,5,1.2024032187945437e-08
20,Cs-137,200,6,1.2096240692685497e-08
20,Cs-134,200,1,1.8468326653228254e-08
20,Cs-134,200,2,2.3555300551592568e-08
20,Cs-134,200,3,2.7638768654894213e-08
20,Cs-134,200,4,3.031770802873649e-08
20,Cs-134,200,5,3.177993119259762e-08
20,Cs-134,200,6,3.2050417546211264e-08
20,Ar-41,200,1,1.2347403378902021e-08
20,Ar-41,200,2,1.567031899874341e-08
20,Ar-41,200,3,1.8441165704157867e-08
20,Ar-41,200,4,2.0759050071438044e-08
20,Ar-41,200,5,2.2117303398733523e-08
20,Ar-41,200,6,2.2534430953136387e-08
20,Xe-135,200,1,3.549490937274978e-09
20,Xe-135,200,2,4.515198885969699e-09
20,Xe-135,200,3,5.3000648666094355e-09
20,Xe-135,200,4,5.853451428886061e-09
20,Xe-135,200,5,6.160902234139002e-09
20,Xe-135,200,6,6.253091492910507e-09
20,Co-60,200,1,2.6757397610660585e-08
20,Co-60,200,2,3.4388988637261824e-08
20,Co-60,200,3,4.0350384611780694e-08
20,Co-60,200,4,4.325074547610922e-08
20,Co-60,200,5,4.464124867801322e-08
20,Co-60,200,6,4.4720651938456745e-08
20,I-131,200,1,5.386679346496633e-09
20,I-131,200,2,6.736213962069234e-09
20,I-131,200,3,8.06641660861451e-09
20,I-131,200,4,8.762248640802623e-09
20,I-131,200,5,9.128789050676051e-09
20,I-131,200,6,9.208605462374992e-09
20,I-132,200,1,2.5417765630298426e-08
20,I-132,200,2,3.2602900896430855e-08
20,I-132,200,3,3.8295401755946206e-08
20,I-132,200,4,4.217842287762328e-08
20,I-132,200,5,4.449554852059964e-08
20,I-132,200,6,4.506747191553306e-08
20,Kr-87,200,1,7.985212902107585e-09
20,Kr-87,200,2,1.0214968975775358e-08
20,Kr-87,200,3,1.2017287991734916e-08
